postgres_id,accident_id,description,latitude,longitude,severity,timestamp,timezone,status_code
72027,A-1,Between Sawmill Rd/Exit 20 and OH-315/Olentangy Riv Rd/Exit 22 - Accident.,40.10891,-83.09286,3,2016-02-08 00:37:08,US/Eastern,201
72029,A-2,At OH-4/OH-235/Exit 41 - Accident.,39.86542,-84.0628,2,2016-02-08 05:56:20,US/Eastern,201
72031,A-3,At I-71/US-50/Exit 1 - Accident.,39.10266,-84.52468,2,2016-02-08 06:15:39,US/Eastern,201
72035,A-4,At Dart Ave/Exit 21 - Accident.,41.06213,-81.53784,2,2016-02-08 06:51:45,US/Eastern,201
72043,A-5,At Mitchell Ave/Exit 6 - Accident.,39.172393,-84.49279200000002,3,2016-02-08 07:53:43,US/Eastern,201
72051,A-6,At Dela Palma Rd - Accident.,39.06324,-84.03243,2,2016-02-08 08:16:57,US/Eastern,201
72059,A-7,At OH-4/Exit 54 - Accident.,39.77565,-84.18603,2,2016-02-08 08:15:41,US/Eastern,201
72067,A-8,At Bagley Rd/Exit 235 - Accident.,41.37531,-81.82016999999998,2,2016-02-08 11:51:46,US/Eastern,201
72075,A-9,At OH-65/Exit 122 - Accident.,40.702247,-84.075887,2,2016-02-08 14:19:57,US/Eastern,201
72083,A-10,At I-71/Exit 26 - Accident.,40.10931,-82.96849,2,2016-02-08 15:16:43,US/Eastern,201
72091,A-11,At OH-4/Paddock Rd/Exit 9 - Accident.,39.19288,-84.47723,2,2016-02-08 15:43:50,US/Eastern,201
72099,A-12,At US-52/Hopple St/Exit 3 - Accident.,39.13877,-84.53394,2,2016-02-08 16:50:57,US/Eastern,201
72107,A-13,At US-42/Exit 170 - Accident.,41.4739,-81.704233,2,2016-02-08 17:27:39,US/Eastern,201
72115,A-14,Between OH-72/Exit 58 and US-35/Exit 65 - Accident.,39.582242,-83.677814,2,2016-02-08 17:30:18,US/Eastern,201
72123,A-15,At Shipley Rd - Accident.,40.151785,-81.312635,3,2016-02-08 18:11:11,US/Eastern,201
72131,A-16,At Titus Rd - Accident.,40.151747,-81.312682,3,2016-02-08 18:11:11,US/Eastern,201
72139,A-17,At OH-16/Broad St/Exit 39 - Accident.,39.97241,-82.84695,3,2016-02-08 19:47:42,US/Eastern,201
72147,A-18,At I-270 - Accident.,39.9838,-82.85656999999998,2,2016-02-08 19:47:42,US/Eastern,201
72155,A-19,Between Weber Rd/Exit 113 and Hudson St/Exit 112 - Accident.,40.02664,-82.9944,3,2016-02-08 20:13:22,US/Eastern,201
72163,A-20,Closed between I-475/Exit 204 and US-24/Detroit Ave/Exit 203 - Road closed due to accident.,41.679361,-83.573037,4,2016-02-08 21:00:17,US/Eastern,201
72171,A-21,At Fort Wayne - Accident.,40.99613,-85.26613,2,2016-02-08 21:10:10,US/Eastern,201
72179,A-22,At I-275/Exit 185 - Accident.,39.0381,-84.59243000000002,3,2016-02-08 21:30:31,US/Eastern,201
72187,A-23,Between Broadway/Exit 114 and Weber Rd/Exit 113 - Accident.,40.03386,-82.99601,2,2016-02-09 05:54:01,US/Eastern,201
72195,A-24,Between OH-48/Exit 29 and Dayton Intl Airport Rd/Exit 32 - Accident.,39.85798,-84.28181,2,2016-02-09 06:10:59,US/Eastern,201
72203,A-25,At I-74/US-52/US-27/Exit 4 - Accident.,39.15267,-84.5395,2,2016-02-09 06:46:32,US/Eastern,201
72211,A-26,At US-31/Exit 76 - Accident.,39.30732,-85.95982,2,2016-02-09 07:18:10,US/Eastern,201
72219,A-27,Closed between OH-844/Fairfield Rd/Exit 17 and Colonel Glenn Hwy/Exit 15 - Road closed due to accident.,39.77572,-84.04815,4,2016-02-09 07:28:15,US/Eastern,201
72227,A-28,At I-270/Exit 93 - Accident.,39.97643,-83.12306,2,2016-02-09 07:25:40,US/Eastern,201
72235,A-29,At Fairland Rd/400/Exit 109 - Accident.,39.58595,-85.82518,3,2016-02-09 07:44:49,US/Eastern,201
72243,A-30,Between US-421/Exit 132 and US-421/Exit 123 - Accident.,39.3638,-85.51659000000002,3,2016-02-09 07:48:40,US/Eastern,201
72251,A-31,Between US-421/Exit 123 and US-421/Exit 132 - Accident.,39.45132,-85.62516,3,2016-02-09 07:48:40,US/Eastern,201
72259,A-32,At Smithville Rd - Accident.,39.75067,-84.14148,2,2016-02-09 08:00:16,US/Eastern,201
72267,A-33,At US-50/Exit 176 - Accident.,39.2675,-81.49929,3,2016-02-09 08:02:55,US/Eastern,201
72275,A-34,At High Timber Dr - Accident.,39.86025,-85.96623000000002,2,2016-02-09 08:18:58,US/Eastern,201
72283,A-35,At M-50/Exit 17 - Accident.,41.95677,-83.67214,2,2016-02-09 09:07:19,US/Eastern,201
